Team,Points,Region
Virtus.pro,109,APAC
Movistar KOI,66,APAC
Dreamstation,43,APAC
KINOTROPE gaming,37,APAC
God Speed,27,APAC
Tu-tu-du-du Verstappen,25,APAC
Zen Esports,16,APAC
ROUNDS,15,APAC
Overlooked,13,APAC
Blue Torch,13,APAC
Jungle Juicers,12,APAC
Pxress's Habibtis,9,APAC
SENZA Esports,8,APAC
Team Phoenix,6,APAC
Crazy boy,4,APAC
boba tea,4,APAC
sial,4,APAC
ReaL Adrenaline,3,APAC
Ex-Overlooked,2,APAC
Revenue Redeemers,2,APAC
Praise,2,APAC
name,2,APAC
AL7ANKALEES,1,APAC
Absolute Cinema,1,APAC
UHUH,1,APAC
VipeRR,1,APAC
360,1,APAC
Animated Dragons,1,APAC
Big Dawgs,1,APAC
Error404.,1,APAC
Intake Region,1,APAC
Machi's Minions,1,APAC
Small Esports,1,APAC
TTG,1,APAC
Winter Soldiers,1,APAC
Yokohama F. Marinos Esports,1,APAC
Karmine Corp,126,Europe
Dignitas,89,Europe
Team Vitality,78,Europe
Geekay Esports,47,Europe
Gentle Mates Alpine,38,Europe
Ninjas in Pyjamas,33,Europe
100%,21,Europe
Synergy,12,Europe
F4WD,12,Europe
Team BSK,12,Europe
Team BDS,9,Europe
Startpoint,9,Europe
Redemption,7,Europe
Los Leones de Montepinar,7,Europe
CALIENTE,6,Europe
RRG,5,Europe
Dopamine,5,Europe
Save the game,4,Europe
$ATM,4,Europe
Smokey Bacon Association,3,Europe
Chippy Chips,2,Europe
Cloud eSport,1,Europe
NOVO Esports,1,Europe
Atom Unity,1,Europe
Dangerous Esports Club,1,Europe
NOMSTER,1,Europe
Sick!,1,Europe
Bobrito Bandito,1,Europe
Team Falcons,140,MENA
Twisted Minds,85,MENA
Team Vision,41,MENA
ROC Esports,35,MENA
Al Qadsiah,34,MENA
Team Reds,25,MENA
ZNTRX,21,MENA
The Vicious,19,MENA
F16 Esports,9,MENA
Infinity,8,MENA
OFF,8,MENA
000,6,MENA
MS7,5,MENA
Infamous,5,MENA
Tam,4,MENA
We Don't Know,4,MENA
Sophisticated,3,MENA
Espada,2,MENA
In the House,2,MENA
chevy,2,MENA
AFK,2,MENA
RBN,2,MENA
EKW,2,MENA
House Targaryen,2,MENA
INVADERS BLUES,2,MENA
Revolution,2,MENA
Spies,2,MENA
fJS,2,MENA
Ex-Infamous,1,MENA
LORE,1,MENA
ARP,1,MENA
Be Right Back,1,MENA
Blues,1,MENA
CLS,1,MENA
Hkm,1,MENA
Hope,1,MENA
MDW,1,MENA
MME,1,MENA
NOM,1,MENA
AAA,1,MENA
VVV,1,MENA
zmr,1,MENA
NRG,111,North_America
The Ultimates,73,North_America
Spacestation Gaming,58,North_America
Gen.G Mobil1 Racing,57,North_America
Complexity Gaming,39,North_America
Team Evo,24,North_America
9Lives,21,North_America
Deleted Gaming,20,North_America
Strictly Business,18,North_America
Shopify Rebellion,15,North_America
Pirates on a Boat,14,North_America
The Boys,11,North_America
Omelette,6,North_America
Schnitzelhaus,6,North_America
Netherlamericanada,5,North_America
G.A.S.,4,North_America
Pioneers,4,North_America
S.O.S.,4,North_America
tech,3,North_America
nah,3,North_America
WASSUP,3,North_America
Bubble Sort,2,North_America
Lil Step Bros,2,North_America
simtawk+1,2,North_America
Revelation,1,North_America
Würstlstand,1,North_America
Lotus 8 Esports,1,North_America
Power Rangers,1,North_America
Tree Lamp,1,North_America
WOO,1,North_America
Wildcard,89,Oceania
TSM,63,Oceania
Helfie Chiefs,60,Oceania
PWR,53,Oceania
I'm fine in the west,37,Oceania
HSP,13,Oceania
SKRIMZWORLD,8,Oceania
Tsurani,8,Oceania
2man,7,Oceania
Oogway and Friends,6,Oceania
Prime Pettys Pups,6,Oceania
Ground Zero Gaming,5,Oceania
retired,5,Oceania
pzq,4,Oceania
Chins up,4,Oceania
Nookles Pookles,4,Oceania
Walk In Fridge,3,Oceania
R.T.T.,3,Oceania
Wolves Gaming,3,Oceania
Yeti,3,Oceania
Akimbo Esports,2,Oceania
Soulja's Henchmen,2,Oceania
Sunday Drive,2,Oceania
The Pups,2,Oceania
huh?,2,Oceania
What is our name,2,Oceania
best seeds ever,2,Oceania
blackjack 21,2,Oceania
focotter,2,Oceania
the seeds and the tree,2,Oceania
waffle kickers,2,Oceania
Abracadabra!,1,Oceania
Unforgotten Esports,1,Oceania
nothing better to do,1,Oceania
Dumb Luck Esports,1,Oceania
LOUDer,1,Oceania
No Hat No Play,1,Oceania
