team_name,avg_spacing,std_spacing,min_spacing,won
100%,732.8124,252.10709,128.04347,0
100%,739.846,254.70096,154.50323,0
100%,808.2644,243.89949,184.96272,1
SYNERGY,682.68414,242.51976,67.3429,0
KARMINE CORP,758.9119,267.81036,89.147095,1
KARMINE CORP,732.6003,268.10168,186.90547,0
KARMINE CORP,760.00464,250.18248,134.63466,0
KARMINE CORP,746.51624,252.32298,128.12767,1
KARMINE CORP,762.2629,267.42422,138.13324,1
100%,768.77563,283.1838,68.54293,1
100%,766.8942,221.82484,214.82027,1
100%,711.36707,241.3737,115.46921,1
100%,765.0558,237.26524,41.795242,1
100%,732.96466,254.51375,116.952126,0
100%,743.52277,258.16937,215.503,1
KARMINE CORP,740.5397,270.50986,143.57417,1
KARMINE CORP,717.1189,276.84497,134.03581,1
RRG,721.0729,234.66647,120.796875,0
SAVE THE GAME,647.8569,221.43759,114.379906,1
KARMINE CORP,736.7117,272.87714,114.726295,0
NOVO ESPORTS,711.71466,241.02585,126.82194,1
REDEMPTION,780.8614,251.54797,101.18235,0
KARMINE CORP,739.71765,247.92651,93.12301,1
NOVO ESPORTS,715.6062,248.8652,111.71897,0
REDEMPTION,708.93207,259.24445,87.09736,0
RRG,741.88116,229.42953,83.17101,1
NOVO ESPORTS,768.6557,244.9588,148.46107,1
GEEKAY ESPORTS,774.13367,240.83374,133.97621,0
RRG,693.1539,253.66347,77.867645,1
,723.08325,261.7763,164.01187,1
GEEKAY ESPORTS,724.93445,261.79315,78.91291,1
NOVO ESPORTS,747.7256,272.7325,128.81068,0
M8 ALPINE,744.8718,257.55203,253.52954,0
,669.2559,259.51865,153.49042,1
GEEKAY ESPORTS,754.92755,284.69037,135.56825,1
M8 ALPINE,704.60455,227.5829,200.80505,1
GEEKAY ESPORTS,786.2787,254.11162,53.81648,0
M8 ALPINE,724.43304,227.63841,104.780334,1
,672.9078,241.05743,124.80367,0
NOVO ESPORTS,758.81036,235.34445,98.048134,0
GEEKAY ESPORTS,737.21185,235.34154,144.69443,0
RRG,710.18024,262.1261,67.88778,0
NOVO ESPORTS,807.45056,238.54515,194.44666,0
,691.71814,209.72375,235.50325,0
M8 ALPINE,727.27527,260.24603,175.13133,1
RRG,658.1173,246.16112,99.79731,0
NOVO ESPORTS,815.51245,257.7731,228.46898,0
,698.3957,269.00323,92.059746,0
RRG,,,,1
SAVE THE GAME,636.03656,247.27599,42.02388,0
NIP,787.8524,243.67767,195.75264,0
SAVE THE GAME,646.9684,225.62602,60.459805,0
GEEKAY ESPORTS,704.1117,238.96454,157.09526,1
