avg_diff,std_diff,min_diff,avg,std,min,won
13.147888,-8.871796,20.447128,732.8124,252.10709,128.04347,0
25.8396,12.73819,52.958984,739.846,254.70096,154.50323,0
116.60126,-51.265976,125.01335,808.2644,243.89949,184.96272,1
-60.157227,-3.8476257,-71.65403,682.68414,242.51976,67.3429,0
27.493225,-8.829681,-22.478172,758.9119,267.81036,89.147095,1
35.51648,10.211975,55.03018,732.6003,268.10168,186.90547,0
-8.810547,-20.631027,-16.430374,760.00464,250.18248,134.63466,0
-20.013428,-14.196304,102.02205,746.51624,252.32298,128.12767,1
90.49884,22.729706,-3.905075,762.2629,267.42422,138.13324,1
90.3407,32.608414,-138.74756,768.77563,283.1838,68.54293,1
69.81976,-44.549637,21.906204,766.8942,221.82484,214.82027,1
46.13672,-11.291138,-15.860916,711.36707,241.3737,115.46921,1
-21.511597,-12.069031,-86.46295,765.0558,237.26524,41.795242,1
4.8425903,10.143753,47.660965,732.96466,254.51375,116.952126,0
-20.879028,19.551544,21.672577,743.52277,258.16937,215.503,1
-29.60022,5.520172,14.826416,740.5397,270.50986,143.57417,1
32.1214,23.062943,43.035652,717.1189,276.84497,134.03581,1
-66.524414,-52.324646,-35.44069,721.0729,234.66647,120.796875,0
-99.68091,-16.441315,-1.5173187,647.8569,221.43759,114.379906,1
1.046936,24.078812,-18.840233,736.7117,272.87714,114.726295,0
-38.342285,9.546082,-75.1558,711.71466,241.02585,126.82194,1
40.959106,-27.331299,-14.4226,780.8614,251.54797,101.18235,0
45.722168,-33.466248,-50.66381,739.71765,247.92651,93.12301,1
5.9123535,2.9990692,-71.57627,715.6062,248.8652,111.71897,0
49.043457,-6.3659363,-16.622368,708.93207,259.24445,87.09736,0
-11.169922,-35.00653,-104.66216,741.88116,229.42953,83.17101,1
46.512024,-4.3983765,-45.39029,768.6557,244.9588,148.46107,1
87.165405,19.056564,-36.66484,774.13367,240.83374,133.97621,0
-129.02753,13.294754,-169.87088,693.1539,253.66347,77.867645,1
0.0,0.0,0.0,723.08325,261.7763,164.01187,1
-23.147766,-4.3276978,45.62497,723.08325,261.7763,164.01187,1
-12.733826,-22.720978,-99.95634,724.93445,261.79315,78.91291,1
21.161377,33.060425,-48.315674,747.7256,272.7325,128.81068,0
75.58417,8.527771,169.61642,744.8718,257.55203,253.52954,0
0.0,0.0,0.0,669.2559,259.51865,153.49042,1
-88.52435,11.360153,29.788185,669.2559,259.51865,153.49042,1
40.83014,45.674286,-26.778397,754.92755,284.69037,135.56825,1
38.047485,-16.206345,23.526672,704.60455,227.5829,200.80505,1
75.72162,-6.5569,-122.119354,786.2787,254.11162,53.81648,0
-33.594482,-12.987762,-100.89577,724.43304,227.63841,104.780334,1
0.0,0.0,0.0,672.9078,241.05743,124.80367,0
-95.625854,8.167908,-100.248314,672.9078,241.05743,124.80367,0
-26.880066,-36.133972,-56.29043,758.81036,235.34445,98.048134,0
32.793884,-3.979477,29.149261,737.21185,235.34154,144.69443,0
-15.276367,28.353104,-126.51333,710.18024,262.1261,67.88778,0
41.65692,-33.106705,58.211227,807.45056,238.54515,194.44666,0
0.0,0.0,0.0,691.71814,209.72375,235.50325,0
-115.14838,-75.188965,95.722626,691.71814,209.72375,235.50325,0
-32.815613,5.45903,92.06632,727.27527,260.24603,175.13133,1
-58.0365,-10.396225,-42.638435,658.1173,246.16112,99.79731,0
38.88147,-37.14505,167.86763,815.51245,257.7731,228.46898,0
0.0,0.0,0.0,698.3957,269.00323,92.059746,0
-110.670654,-4.9344482,-1.5594177,698.3957,269.00323,92.059746,0
,,,,,,1
-60.569214,-13.608566,-77.21616,636.03656,247.27599,42.02388,0
45.447266,-38.050842,96.33367,787.8524,243.67767,195.75264,0
-81.59546,-37.144516,-54.77096,646.9684,225.62602,60.459805,0
-4.363037,0.65348816,16.685043,704.1117,238.96454,157.09526,1
-34.117554,18.730682,-109.629166,744.30444,279.81226,122.65106,1
-4.9278564,18.409042,-145.85825,720.7416,249.40129,55.571854,0
-29.048035,-18.732635,-11.586502,695.52985,257.25003,132.40532,1
15.424561,-15.8489685,76.92948,743.715,241.08093,202.10957,1
-10.611267,23.395874,-48.98259,696.9332,240.55898,107.66312,1
